objectid,filename,title,creator,date,archival date,description,subject,location,latitude,longitude,source,identifier,type,format original,format,finding aid,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
silver-gold011,silvergold_015.jpg,Silver and Gold Book edge detail [04],University of Idaho Visual Productions,2023,2023,"Close up detail of one long edge of object which appears as the spine of the book. Featuring a golden relief rendering of the state seal of Idaho. The state seal was designed by Emma Edwards Green, the only women to design a state seal in America. The seal includes imagery meant to evoke the foundational characteristics of Idaho. ",decorative art; jewelry boxes; gold (metal); silver (metal); Idaho,"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_015,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_015.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_015_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_015_th.jpg
silver-gold012,silvergold_016.jpg,Silver and Gold Book cover detail [05],University of Idaho Visual Productions,2023,2023,"Close up detail of jewelry box cover corner featuring golden relief of mining pick, shovel, and latern. Cover is open and object is standing up as if it were a book, making the stylized spine also visible. Silver relief of pine cones pictured. ",decorative art; jewelry boxes; gold (metal); silver (metal); mining,"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_016,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_016.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_016_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_016_th.jpg
silver-gold013,silvergold_017.jpg,Silver and Gold Book cover detail [06],University of Idaho Visual Productions,2023,2023,Close up detail of jewelry box cover corner featuring golden relief of bundles of grain. ,decorative art; jewelry boxes; gold (metal); silver (metal); farming (activity or system),"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_017,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_017.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_017_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_017_th.jpg
silver-gold014,silvergold_018.jpg,Silver and Gold Book edge detail [05],University of Idaho Visual Productions,2023,2023,"Close up detail of one long edge of object, featuring an etched scene of a miner with pack mules. Jewelry box clasp is closed, engraved with text that reads ""DESIGNED BY THE WOMEN OF MOSCOW FOR THE COLUMBIAN EXPOSITION '93""",decorative art; mining; jewelry boxes; gold (metal); silver (metal),"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_018,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_018.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_018_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_018_th.jpg
silver-gold015,silvergold_019.jpg,Silver and Gold Book cover detail [07],University of Idaho Visual Productions,2023,2023,"Close up detail of jewelry box cover featuring golden relief of scroll that is etched with the words ""Idaho the Gem of the Mountains""",decorative art; jewelry boxes; gold (metal); silver (metal); Idaho,"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_019,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_019.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_019_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_019_th.jpg
silver-gold016,silvergold_020.jpg,Silver and Gold Book cover detail [08],University of Idaho Visual Productions,2023,2023,Close up detail of jewelry box cover corner featuring golden relief of game birds in tall grass. ,decorative art; jewelry boxes; gold (metal); silver (metal); hunting,"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_020,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_020.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_020_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_020_th.jpg
silver-gold017,silvergold_021.jpg,Silver and Gold Book cover detail [09],University of Idaho Visual Productions,2023,2023,"Close up detail of jewelry box cover corner featuring golden relief of logs and an ax. Cover is open and object is standing up as if it were a book, making the stylized spine also visible. Silver etching of the dates 1863 and 1893 pictured.",decorative art; jewelry boxes; gold (metal); silver (metal); lumber; Idaho,"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_021,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_021.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_021_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_021_th.jpg
silver-gold018,silvergold_023.jpg,Silver and Gold Book cover detail [10],University of Idaho Visual Productions,2023,2023,"Close up detail of jewelry box cover featuring opal reportedly mined very near to Moscow, Idaho. Opal is set in golden flower design, golden relief of wheat shafts surround the stone. ",decorative art; jewelry boxes; gold (metal); silver (metal); farming (activity or system); opal; Idaho,"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_023,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_023.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_023_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_023_th.jpg
silver-gold019,silvergold_024.jpg,Silver and Gold Book interior,University of Idaho Visual Productions,2023,2023,"Jewelry box is open to reveal green velvet interior. Long edge golden relief of scene of miner with pack mule train is visible, as is the underside of the box clasp. ",decorative art; mining; jewelry boxes; gold (metal); silver (metal),"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_024,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_024.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_024_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_024_th.jpg
silver-gold020,silvergold_027.jpg,Silver and Gold Book edge detail [06],University of Idaho Visual Productions,2023,2023,Close up detail of one short edge of object which appears as the top edge of the book. Featuring an etched scene of a covered wagon and emigrant family.,decorative art; jewelry boxes; gold (metal); silver (metal); covered wagons,"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_027,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_027.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_027_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_027_th.jpg
silver-gold021,mg025_bx1_002.jpg,Pleiades Members,,1895,1892-1900,"Eight of the original members of the Pleiades Club. Jennie P. Gault, Florence R. Chrisman, Martha Fox, Kate R. Henderson, Sara C. Ostrander, C. W. McCurdy, Ellen R. Aldrich and Millicent C. Bonebright.",clubs (associations); women,,,,MG 25 Pleiades Club records,mg025_bx1_002,Image;StillImage,,image/jpeg,,,,,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/mg025_bx1_002.jpg,https://objects.lib.uidaho.edu/silver-gold/small/mg025_bx1_002_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/mg025_bx1_002_th.jpg
silver-gold022,1899-annual.pdf,"The Pleiades Annual Announcements, 1899",The Pleiades,1899,1899,"A fourteen page booklet, measuring about five inches by 12 inches, printed for the Pleiades to report their annual accomplishments for 1899. ",clubs (associations); women,"Moscow, Idaho",,,"MG 25 Pleiades Club records, Box 1, Folder 21",1899-annual,Text,,application/pdf,,,,,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/silver-gold/1899-annual.pdf,https://objects.lib.uidaho.edu/silver-gold/small/1899-annual_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/1899-annual_th.jpg
silver-gold023,pleiades-member-book.pdf,Pleiades New Membership Signatures book,The Pleiades,1931,1931-2023,"Book created to track membership of Pleiades group, first developed in 1931 but inscribed to include information about the founding members and maintained by current membership.  ",clubs (associations); women,"Moscow, Idaho",,,"MG 25 Pleiades Club records, Box 1, Folder 20",pleiades-member-book,Text,,application/pdf,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/silver-gold/pleiades-member-book.pdf,https://objects.lib.uidaho.edu/silver-gold/small/pleiades-member-book_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/pleiades-member-book_th.jpg
silver-gold024,written-history.pdf,Written history of Pleiades,Gertrude Axtell,1955,1950-1960,"A handwritten account from Gertrude Axtell, a member of Pleiades in the mid-20th century, of the group's first 60 years. ",clubs (associations); women,"Moscow, Idaho",,,"MG 25 Pleiades Club records, Box 1, Folder 22",written-history,Text,,application/pdf,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/silver-gold/written-history.pdf,https://objects.lib.uidaho.edu/silver-gold/small/written-history_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/written-history_th.jpg
silver-gold025,mid-century-documentation.pdf,Documentation of Silver & Gold Book [01],The Pleiades,,,"A handwritten note, likely created by a member of Pleiades, recounting the history of the Silver and Gold Book",clubs (associations); women,"Moscow, Idaho",,,"MG 25 Pleiades Club records, Box 2, Folder 26",mid-century-documentation,Text,,application/pdf,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/silver-gold/mid-century-documentation.pdf,https://objects.lib.uidaho.edu/silver-gold/small/mid-century-documentation_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/mid-century-documentation_th.jpg
silver-gold026,mid-century-documentation_tiffanys.pdf,Documentation of Silver & Gold Book [02],Tiffany & Co.,1967-12-13,1967-12-13,"Typewritten communication from Tiffany & Co. responding to a request for information from Mrs. H.L. Axtell, in regards to Silver and Gold Book. ",clubs (associations); women; jewelers,"New York, New York",,,"MG 25 Pleiades Club records, Box 2, Folder 26",mid-century-documentation_tiffanys,Text,,application/pdf,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/silver-gold/mid-century-documentation_tiffanys.pdf,https://objects.lib.uidaho.edu/silver-gold/small/mid-century-documentation_tiffanys_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/mid-century-documentation_tiffanys_th.jpg
silver-gold027,documentation-mid-century_23.jpg,Documentation of Silver & Gold Book [03],The Pleiades,,,"A handwritten note, likely created by a member of Pleiades, recounting history of the Silver and Gold Book",clubs (associations); women,"Moscow, Idaho",,,"MG 25 Pleiades Club records, Box 2, Folder 26",documentation-mid-century_23,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/documentation-mid-century_23.jpg,https://objects.lib.uidaho.edu/silver-gold/small/documentation-mid-century_23_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/documentation-mid-century_23_th.jpg
silver-gold028,documentation-mid-century_24.jpg,Documentation of Silver & Gold Book [04],Gertrude Axtell,1967-12-08,1967-12-08,"A handwritten note address to Tiffany and Co. Jewlers requesting after any information the firm might have about the production of the Silver and Gold Book, signed by Gertrude Axtell",clubs (associations); women; jewelers,"Moscow, Idaho",,,"MG 25 Pleiades Club records, Box 2, Folder 26",documentation-mid-century_24,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/documentation-mid-century_24.jpg,https://objects.lib.uidaho.edu/silver-gold/small/documentation-mid-century_24_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/documentation-mid-century_24_th.jpg
